,Price,Area,Location,No. of Bedrooms
0,6200000,400,Airoli,1
1,9500000,1000,Airoli,2
2,14900000,1245,Airoli,2
3,14000000,1183,Airoli,2
4,14800000,1245,Airoli,2
5,6400000,495,Airoli,1
6,11100000,1050,Airoli,2
7,7500000,600,Airoli,1
8,7500000,600,Airoli,1
9,7600000,650,Airoli,1
10,6500000,650,Airoli,1
11,9500000,780,Airoli,1
12,6600000,640,Airoli,1
13,7800000,660,Airoli,1
14,7800000,660,Airoli,1
15,5900000,666,Airoli,1
16,7000000,700,Airoli,1
17,7000000,680,Airoli,1
18,14000000,1245,Airoli,2
19,6100000,650,Airoli,1
20,7500000,675,Airoli,1
21,7000000,600,Airoli,1
22,8400000,952,Airoli,2
23,8400000,660,Airoli,1
24,7300000,600,Airoli,1
25,3874000,730,Ambernath East,1
26,2225000,595,Ambernath East,1
27,3999000,994,Ambernath East,2
28,3954999,993,Ambernath East,2
29,3415000,925,Ambernath East,2
30,3410000,918,Ambernath East,2
31,2300000,650,Ambernath East,1
32,4200000,1010,Ambernath East,2
33,2800000,690,Ambernath East,1
34,3650000,725,Ambernath East,1
35,3100000,827,Ambernath East,1
36,2374000,634,Ambernath West,1
37,3600000,910,Ambernath West,2
38,2836000,709,Ambernath West,1
39,3188000,797,Ambernath West,1
40,2520000,630,Ambernath West,1
41,2576000,644,Ambernath West,1
42,2836000,709,Ambernath West,1
43,2520000,630,Ambernath West,1
44,2576000,644,Ambernath West,1
45,3064000,766,Ambernath West,1
46,3188000,797,Ambernath West,1
47,18000000,1100,Andheri,2
48,14000000,1000,Andheri,2
49,30000000,1480,Andheri,3
50,17500000,650,Andheri,1
51,65300000,3025,Andheri,4
52,24000000,1000,Andheri,2
53,29400000,1450,Andheri,3
54,22200000,900,Andheri,3
55,15300000,1040,Andheri,2
56,17000000,1114,Andheri East,3
57,20000000,1260,Andheri East,2
58,33400000,2016,Andheri East,3
59,11100000,655,Andheri East,2
60,16800000,922,Andheri East,2
61,17500000,1050,Andheri East,1
62,16500000,1020,Andheri East,1
63,14800000,915,Andheri East,2
64,15000000,915,Andheri East,2
65,18000000,1020,Andheri East,2
66,14000000,650,Andheri East,2
67,11000000,620,Andheri East,1
68,15000000,950,Andheri East,2
69,31500000,1356,Andheri East,3
70,17000000,1080,Andheri East,2
71,25000000,1356,Andheri East,2
72,13000000,903,Andheri East,2
73,13500000,750,Andheri East,2
74,13500000,750,Andheri East,2
75,19000000,1150,Andheri East,2
76,22000000,1000,Andheri East,2
77,22000000,1300,Andheri East,3
78,13500000,550,Andheri East,1
79,10000000,600,Andheri East,1
80,16500000,850,Andheri East,2
81,16000000,900,Andheri East,2
82,21200000,859,Andheri East,3
83,30000000,1200,Andheri East,3
84,31000000,1300,Andheri East,3
85,15400000,670,Andheri East,2
86,19000000,890,Andheri East,3
87,22000000,1100,Andheri East,3
88,18800000,1100,Andheri East,2
89,22300000,1450,Andheri East,3
90,21500000,1450,Andheri East,3
91,16000000,902,Andheri East,2
92,15000000,850,Andheri East,2
93,9000000,560,Andheri East,1
94,17500000,1065,Andheri East,2
95,8500000,550,Andheri East,1
96,8500000,550,Andheri East,1
97,9500000,650,Andheri East,1
98,15500000,850,Andheri East,2
99,18500000,1150,Andheri East,2
100,50000000,2500,Andheri East,6
101,16900000,850,Andheri East,2
102,15000000,700,Andheri East,2
103,12500000,802,Andheri East,1
104,14000000,652,Andheri East,1
105,25000000,1350,Andheri East,2
106,14000000,650,Andheri East,1
107,18500000,1020,Andheri East,2
108,21000000,1050,Andheri East,2
109,36500000,1950,Andheri East,3
110,12400000,650,Andheri East,1
111,17900000,1100,Andheri East,2
112,11500000,720,Andheri East,1
113,18000000,900,Andheri East,2
114,4800000,250,Andheri East,1
115,10000000,475,Andheri East,1
116,19800000,1200,Andheri East,2
117,110000000,3300,Andheri West,4
118,28500000,997,Andheri West,2
119,55000000,1950,Andheri West,3
120,220000000,7600,Andheri West,5
121,24000000,1000,Andheri West,2
122,27000000,1361,Andheri West,2
123,31200000,1470,Andheri West,3
124,65000000,2450,Andheri West,4
125,18000000,1006,Andheri West,2
126,85000000,3733,Andheri West,4
127,119900000,3140,Andheri West,3
128,92400000,3080,Andheri West,3
129,113400000,3780,Andheri West,4
130,139500000,4650,Andheri West,5
131,31500000,1470,Andheri West,3
132,35000000,1600,Andheri West,3
133,25500000,1400,Andheri West,2
134,18500000,650,Andheri West,1
135,20000000,650,Andheri West,2
136,19700000,800,Andheri West,2
137,18200000,750,Andheri West,2
138,17900000,750,Andheri West,2
139,29000000,1550,Andheri West,3
140,31000000,1600,Andheri West,3
141,35000000,1600,Andheri West,3
142,41500000,1850,Andheri West,3
143,24000000,960,Andheri West,2
144,37000000,1600,Andheri West,3
145,34000000,1166,Andheri West,3
146,22000000,788,Andheri West,3
147,22000000,788,Andheri West,3
148,25000000,790,Andheri West,2
149,36400000,1193,Andheri West,3
150,26500000,1250,Andheri West,2
151,16000000,800,Andheri West,2
152,110000000,3000,Andheri West,4
153,21700000,707,Andheri West,2
154,27799999,944,Andheri West,3
155,26000000,923,Andheri West,2
156,22200000,930,Andheri West,2
157,25200000,1250,Andheri West,2
158,10500000,420,Andheri West,1
159,14600000,586,Andheri West,2
160,26000000,1250,Andheri West,3
161,67000000,2500,Andheri West,4
162,42500000,1850,Andheri West,3
163,30000000,1450,Andheri West,2
164,39000000,1147,Andheri West,3
165,20900000,667,Andheri West,2
166,59000000,2250,Andheri West,3
167,38000000,1350,Andheri West,2
168,22000000,1250,Andheri West,2
169,23000000,1250,Andheri West,2
170,36000000,1900,Andheri West,3
171,24000000,1300,Andheri West,2
172,28000000,1003,Andheri West,2
173,31700000,1166,Andheri West,2
174,39000000,1509,Andheri West,3
175,25000000,1250,Andheri West,2
176,51500000,1640,Andheri West,3
177,25000000,1100,Andheri West,2
178,63900000,2780,Andheri West,4
179,51900000,2260,Andheri West,3
180,47600000,2070,Andheri West,3
181,34000000,1864,Andheri West,3
182,23200000,1264,Andheri West,2
183,23200000,1264,Andheri West,2
184,33000000,944,Andheri West,3
185,25000000,713,Andheri West,2
186,24800000,708,Andheri West,2
187,21500000,1100,Andheri West,2
188,22200000,926,Andheri West,2
189,19900000,934,Andheri West,2
190,22200000,960,Andheri West,2
191,22200000,810,Andheri West,2
192,26700000,1127,Andheri West,3
193,22200000,890,Andheri West,2
194,47500000,1632,Andheri West,3
195,30500000,1250,Andheri West,2
196,32900000,1250,Andheri West,2
197,26000000,1250,Andheri West,2
198,36000000,1850,Andheri West,3
199,42000000,1850,Andheri West,3
200,19000000,900,Andheri West,2
201,55000000,2050,Andheri West,4
202,37800000,1650,Andheri West,3
203,25500000,1200,Andheri West,2
204,70000000,2400,Andheri West,4
205,36800000,1600,Andheri West,3
206,42500000,1850,Andheri West,3
207,38000000,1850,Andheri West,3
208,37000000,1650,Andheri West,3
209,28000000,1250,Andheri West,2
210,43000000,1950,Andheri West,4
211,40000000,1500,Andheri West,3
212,21700000,954,Andheri West,2
213,27799999,1274,Andheri West,3
214,22000000,985,Andheri West,3
215,16000000,650,Andheri West,1
216,19500000,1000,Andheri West,2
217,15000000,650,Andheri West,1
218,15000000,650,Andheri West,1
219,30000000,1195,Andheri West,2
220,46500000,1250,Andheri West,3
221,33500000,912,Andheri West,2
222,24000000,660,Andheri West,2
223,22500000,1050,Andheri West,2
224,50000000,2300,Andheri West,3
225,80000000,2590,Andheri West,5
226,40000000,1295,Andheri West,3
227,26000000,1200,Andheri West,3
228,22500000,1040,Andheri West,2
229,23000000,950,Andheri West,2
230,23500000,1100,Andheri West,2
231,22500000,768,Andheri West,2
232,22500000,768,Andheri West,2
233,22000000,1200,Andheri West,3
234,2005000,575,Badlapur,1
235,2170000,505,Badlapur,1
236,2625000,675,Badlapur,1
237,2164000,571,Badlapur,1
238,2534000,642,Badlapur,1
239,2865000,675,Badlapur East,1
240,2600000,500,Badlapur East,1
241,2565000,675,Badlapur East,1
242,3797999,910,Badlapur East,2
243,3300000,920,Badlapur East,2
244,2600000,660,Badlapur East,1
245,2650000,660,Badlapur East,1
246,3750000,1050,Badlapur East,2
247,2815000,710,Badlapur East,1
248,3615000,1040,Badlapur East,2
249,3700000,1025,Badlapur East,2
250,3700000,1025,Badlapur East,2
251,2750000,730,Badlapur East,1
252,2250000,610,Badlapur East,1
253,2250000,655,Badlapur East,1
254,3100000,920,Badlapur East,2
255,2399000,700,Badlapur East,1
256,2190000,655,Badlapur East,1
257,3200000,820,Badlapur East,2
258,3100000,920,Badlapur East,2
259,2600000,510,Badlapur East,1
260,3565999,703,Badlapur East,2
261,4267000,841,Badlapur East,2
262,4427000,873,Badlapur East,2
263,3872000,762,Badlapur East,2
264,3125000,615,Badlapur East,1
265,2725000,535,Badlapur East,1
266,3811999,750,Badlapur East,2
267,4052000,798,Badlapur East,2
268,2950000,580,Badlapur East,1
269,2575000,505,Badlapur East,1
270,2750000,700,Badlapur East,1
271,2399000,620,Badlapur West,1
272,2200000,670,Badlapur West,1
273,2110000,545,Badlapur West,1
274,2077000,620,Badlapur West,1
275,2425000,690,Badlapur West,1
276,2400000,700,Badlapur West,1
277,2650000,650,Badlapur West,1
278,11000000,440,Bandra East,1
279,42500000,1305,Bandra East,2
280,60000000,1750,Bandra East,3
281,68000000,1500,Bandra East,2
282,35000000,1150,Bandra East,2
283,30400000,1100,Bandra East,2
284,80000000,1980,Bandra East,3
285,58500000,1700,Bandra East,3
286,115000000,3000,Bandra East,4
287,31200000,838,Bandra East,2
288,55000000,2000,Bandra East,3
289,30000000,850,Bandra West,2
290,120000000,2893,Bandra West,4
